Geneid,N1,N2,T1,T2,T3,T4
LOC100289495,11,3,21,4,31,38
LOC100289511,0,0,16,5,21,13
LOC100289561,0,0,0,0,0,1
LOC100289580,0,0,4,0,2,20
LOC100289656,0,0,13,8,1,22
LOC100294145_3,0,0,0,0,1,0
LOC100294145_5,0,0,0,0,0,1
LOC100303749,0,0,0,4,1,3
LOC100310756,0,15,6,10,2,1
LOC100335030,0,28,24,11,33,24
LOC100379224,3,22,31,19,7,2
LOC100419170,0,11,13,15,13,13
LOC100419583,0,0,11,4,20,29
LOC100420587,1,3,24,11,36,44
LOC100421372,0,30,47,16,26,30
LOC100421746,0,7,10,21,3,13
LOC100422212,0,4,29,19,10,18
LOC100422556,0,0,7,3,1,15
LOC100422781,35,47,26,7,40,48
LOC100499194,0,0,19,19,10,13
LOC100499489,20,8,13,4,4,25
LOC100505501,0,22,4,0,2,9
LOC100505502,0,0,9,1,0,23
LOC100505549,14,5,39,24,39,23
LOC100505555,33,15,7,22,16,20
LOC100505588,33,0,0,0,0,11
LOC100505622,0,0,7,7,12,17
LOC100505715,0,38,38,34,47,27
LOC100505716,33,24,13,9,28,14
LOC100505736,0,0,15,28,9,4
LOC100505774,0,0,15,4,10,14
LOC100505782_1,0,0,0,1,2,0
LOC100505797,18,5,8,1,5,7
LOC100505841,0,29,27,11,10,8
LOC100505851,14,23,15,20,32,4
LOC100505874,0,0,5,6,4,11
LOC100505912,39,6,9,6,9,13
LOC100505915,15,4,12,9,12,21
LOC100505918,0,0,36,37,45,43
LOC100505938,0,0,0,19,0,5
LOC100505942,0,0,9,1,1,14
LOC100505978,0,0,4,0,12,8
LOC100506016,0,0,1,2,1,2
LOC100506023,1,29,44,38,39,33
LOC100506071,0,0,3,0,1,0
LOC100506076,1,2,1,1,3,3
LOC100506083,11,40,29,24,31,25
LOC100506100,0,0,1,0,0,9
LOC100506124,22,0,4,0,0,3
LOC100506178,0,0,13,0,2,7
LOC100506188,0,0,2,0,0,5
LOC100506207,1,0,4,0,6,6
LOC100506258,0,8,19,12,16,16
LOC100506271,54,0,21,17,23,9
LOC100506274,0,13,15,15,32,20
LOC100506281,7,0,6,2,0,8
LOC100506282,0,0,5,11,6,9
LOC100506302,0,18,36,10,26,44
LOC100506321,0,12,17,11,15,21
LOC100506358,0,0,3,0,4,7
LOC100506388_1,0,0,1,0,0,0
LOC100506403,0,0,2,0,0,5
LOC100506406,0,0,0,0,1,0
LOC100506422,0,16,3,6,0,1
LOC100506444,0,18,52,36,59,13
LOC100506472,14,31,23,28,35,25
LOC100506474,0,0,4,7,0,3
LOC100506476,0,1,14,10,20,11
LOC100506497,0,0,31,25,32,8
LOC100506551,21,15,57,19,51,32
LOC100506606,0,3,28,15,24,24
LOC100506639,11,0,5,3,2,25
LOC100506675,47,34,13,8,39,21
LOC100506682,0,2,10,2,26,9
LOC100506688,43,39,44,48,63,53
LOC100506691,0,0,4,0,5,19
LOC100506725,0,12,3,0,1,0
LOC100506730,0,8,12,0,21,18
LOC100506858,0,0,5,0,9,14
LOC100506869,0,0,3,7,8,9
LOC100506937,0,0,1,0,2,1
LOC100506990,50,146,85,47,86,182
LOC100507002,0,0,7,0,10,0
LOC100507006,16,0,0,7,2,3
LOC100507053,10,0,23,36,26,23
LOC100507065,39,0,21,4,15,7
LOC100507071,0,0,1,0,0,2
LOC100507144,0,0,0,1,0,3
LOC100507156,22,0,19,15,7,28
LOC100507250,0,0,12,25,18,33
LOC100507283,0,8,23,14,14,20
LOC100507291,0,0,16,0,1,4
LOC100507334,3,0,3,5,3,4
LOC100507346,0,0,1,6,9,14
LOC100507351,9,0,9,5,12,35
LOC100507384,2,0,4,0,0,2
LOC100507389,0,0,18,14,15,32
LOC100507412,4951,7418,9465,7377,14654,16124
LOC100507437,1,0,1,2,0,0
LOC100507443,0,0,3,0,5,4
LOC100507464,0,0,3,0,1,1
LOC100507472,0,0,2,0,4,14
LOC100507477,0,0,10,0,9,12
LOC100507507,0,30,17,8,46,22
LOC100507516,25,65,30,31,19,35
LOC100507547,0,0,0,0,0,1
LOC100507547_2,4,2,0,0,0,0
LOC100507548,0,17,0,12,0,5
LOC100507564,0,23,5,0,4,1
LOC100507599,21,9,7,0,1,4
LOC100507634,0,0,16,9,3,7
LOC100507642,14,0,2,0,12,6
LOC100508046,0,0,39,16,21,7
LOC100509620,38,0,61,12,13,50
LOC100652758,4,18,18,19,30,11
LOC100652768,20,23,9,12,8,7
LOC100652999,0,0,0,0,1,0
LOC100653233,0,0,0,0,0,2
LOC100653233_1,0,0,2,11,7,4
LOC100996249,0,0,9,9,18,3
LOC100996263,0,0,4,16,0,9
LOC100996318_1,0,0,0,0,0,2
LOC100996325,0,0,14,7,2,15
LOC100996349,0,0,3,0,0,7
LOC100996385,0,0,12,5,5,4
LOC100996413,0,0,7,0,1,4
LOC100996419,0,32,8,3,6,18
LOC100996437,0,0,30,5,10,30
LOC100996447,17,0,13,7,2,9
LOC100996583,0,0,6,2,7,11
LOC100996637,0,0,5,6,0,6
LOC100996643,16,34,20,21,39,29
LOC100996664,0,0,3,0,0,13
LOC100996671,0,0,3,0,1,2
LOC100996740,25,0,8,5,3,8
LOC100996740_1,1,0,0,2,3,5
LOC100996750,0,0,3,0,0,3
LOC100996842,0,0,15,10,4,13
LOC101059915,0,0,19,6,3,11
LOC101059948,0,0,6,0,0,14
LOC101060524,1,1,2,1,0,2
LOC101060553,0,0,13,5,7,11
LOC101241902,0,0,7,3,0,12
LOC101409256,6,8,23,12,10,15
LOC101448202,0,0,2,0,1,2
LOC101559451,0,0,8,4,7,8
LOC101593348,0,0,24,0,3,42
LOC101926889,0,0,9,6,10,17
LOC101926892,13,0,11,0,8,23
LOC101926898,0,0,6,9,7,5
LOC101926905,0,0,0,0,1,0
LOC101926905_1,0,1,0,0,4,0
LOC101926908,23,1,4,7,11,2
LOC101926913,20,8,8,4,6,10
LOC101926915,0,0,19,28,31,16
LOC101926933,0,19,6,0,13,14
LOC101926934,0,0,9,1,3,6
LOC101926935,9,49,51,36,70,57
LOC101926943,0,0,0,0,0,2
LOC101926943_1,0,0,0,0,2,0
LOC101926944,0,13,0,0,2,0
LOC101926948,0,0,42,14,8,21
LOC101926960,0,0,7,4,16,7
LOC101926964,16,27,38,26,33,28
LOC101926968,0,0,9,7,1,6
LOC101927018,20,0,7,3,16,16
LOC101927020,5,0,9,3,7,3
LOC101927023,11,0,1,11,2,0
LOC101927040,0,0,12,10,20,14
LOC101927045,0,11,24,0,30,12
LOC101927048,0,0,28,20,30,35
LOC101927050,43,2,28,21,40,38
LOC101927053,18,0,8,0,4,10
LOC101927055,0,0,0,4,0,3
LOC101927066,0,3,6,21,4,8
LOC101927069,53,35,29,32,50,31
LOC101927078,23,8,7,25,15,14
LOC101927079,7,21,22,0,18,23
LOC101927100,0,0,5,0,7,1
LOC101927124,65,15,29,6,21,11
LOC101927131,31,22,31,9,33,26
LOC101927136,0,0,23,7,8,15
LOC101927141,0,7,15,17,5,3
LOC101927143,0,0,53,21,52,31
LOC101927151,32,65,93,40,60,66
LOC101927157,0,0,3,6,2,16
LOC101927159,20,0,11,1,6,8
LOC101927164,0,6,4,0,7,9
LOC101927166,3,0,38,14,43,22
LOC101927168,1,0,4,10,15,1
LOC101927178,36,0,12,11,6,6
LOC101927179,0,0,8,0,2,0
LOC101927188,0,9,21,12,17,19
LOC101927189,46,17,49,32,31,24
LOC101927190,53,28,38,39,30,21
LOC101927237,0,45,43,7,42,25
LOC101927243,9,1,21,8,32,17
LOC101927245,0,31,11,2,24,19
LOC101927267,0,0,30,5,11,32
LOC101927269,0,0,4,7,15,5
LOC101927272,0,0,1,10,0,7
LOC101927278,0,0,10,22,3,9
LOC101927284,14,5,40,14,45,52
LOC101927296,0,0,11,0,0,2
LOC101927310,6,0,1,0,3,6
LOC101927314,0,0,6,10,3,7
LOC101927318,0,0,5,0,0,2
LOC101927342,0,0,0,0,3,1
LOC101927354,12,24,5,5,19,15
LOC101927357,45,6,62,32,52,62
LOC101927358,0,0,0,0,0,5
LOC101927359,6,40,59,7,34,20
LOC101927365,0,16,14,0,8,5
LOC101927374,0,5,28,8,18,6
LOC101927377,0,0,7,2,3,9
LOC101927378,0,0,2,3,5,3
LOC101927394,15,17,4,0,3,9
LOC101927402,3,0,0,0,4,8
LOC101927410,5,42,14,2,9,13
LOC101927418,0,0,2,0,2,5
LOC101927420,0,0,0,0,0,2
LOC101927421,0,11,4,6,11,12
LOC101927429,0,0,12,1,13,6
LOC101927429_1,0,2,1,1,3,1
LOC101927434,0,30,16,1,21,5
LOC101927437,6,0,1,0,0,4
LOC101927446,34,0,16,26,51,32
LOC101927450,0,16,7,23,19,8
LOC101927468_1,0,0,0,0,1,0
LOC101927476,4,17,18,10,26,26
LOC101927478,0,0,0,2,0,3
LOC101927480,0,3,23,3,33,11
LOC101927488,0,0,4,5,0,2
LOC101927495,0,0,20,5,8,14
LOC101927502,45,13,11,8,25,10
LOC101927506,0,0,2,0,0,0
LOC101927509,0,69,92,111,125,97
LOC101927513,0,0,6,0,10,12
LOC101927516,0,0,1,12,5,11
LOC101927539,0,0,5,0,10,28
LOC101927543,12,18,13,2,13,23
LOC101927550,0,85,27,21,21,38
LOC101927551,0,0,0,0,0,11
LOC101927557,0,16,7,0,19,8
LOC101927560,0,18,43,6,35,17
LOC101927571,0,0,4,3,4,0
LOC101927572,0,0,7,6,6,25
LOC101927575,33,49,28,23,66,54
LOC101927583,0,0,12,0,11,4
LOC101927588,0,0,6,6,13,7
LOC101927604,0,0,12,11,22,23
LOC101927620,11,11,9,3,9,8
LOC101927623,36,9,19,7,23,14
LOC101927635_1,1,0,0,0,0,0
LOC101927636,0,0,9,6,22,10
LOC101927657,0,0,8,6,1,9
LOC101927661,0,0,2,4,4,3
LOC101927666,0,0,11,0,9,24
LOC101927668,0,0,6,8,3,3
LOC101927690,0,0,6,0,0,2
LOC101927691,0,9,22,31,23,19
LOC101927692,0,34,41,20,34,24
LOC101927699,0,0,1,1,1,0
LOC101927699_1,0,0,3,2,0,0
LOC101927708,36,19,17,0,13,9
LOC101927709,14,0,1,10,4,0
LOC101927727,16,64,12,4,26,40
LOC101927730,0,0,0,0,9,5
LOC101927751,47,39,37,66,33,42
LOC101927752,0,57,46,15,27,28
LOC101927759,0,0,4,2,3,21
LOC101927762,0,5,8,12,9,7
LOC101927769,34,0,1,3,0,0
LOC101927770,15,17,47,61,51,45
LOC101927787,0,0,0,25,1,0
LOC101927789,0,82,24,164,38,18
LOC101927793,0,0,3,0,0,2
LOC101927798,23,13,1,1,4,5
LOC101927814,0,0,24,15,8,22
LOC101927815,3,7,4,4,15,6
LOC101927815_1,0,0,0,1,0,3
LOC101927817,20,0,9,1,3,14
LOC101927822,0,0,4,0,0,2
LOC101927829,0,42,47,22,39,17
LOC101927830_1,0,1,0,0,0,0
LOC101927839,0,16,6,0,0,9
LOC101927845,2,0,12,0,22,26
LOC101927847,0,0,10,8,7,12
LOC101927851,11,27,16,16,23,32
LOC101927855,0,0,7,14,5,1
LOC101927870,0,9,17,18,5,18
LOC101927881,0,0,0,1,1,11
LOC101927908,0,0,1,0,0,0
LOC101927911,0,0,14,3,5,20
LOC101927914,22,0,4,0,1,18
LOC101927915,0,0,17,0,3,1
LOC101927919,47,0,39,32,40,32
LOC101927932,0,1,1,11,6,7
LOC101927948,0,0,7,4,19,9
LOC101927950,0,15,14,35,6,7
LOC101927954,0,0,26,1,36,40
LOC101927960,0,63,9,11,13,3
LOC101927964,8,39,39,27,62,38
LOC101927967,0,0,12,4,16,5
LOC101927972,0,5,21,1,17,12
LOC101927974,0,0,9,4,4,15
LOC101927989,33,0,0,11,4,7
LOC101928002,0,21,34,32,39,22
LOC101928008,0,16,17,28,26,30
LOC101928009,0,0,12,0,8,21
LOC101928012,0,3,15,2,37,20
LOC101928021,0,12,14,16,18,30
LOC101928030,0,0,1,0,3,3
LOC101928034,0,17,9,0,1,8
LOC101928035,0,0,19,5,16,8
LOC101928042,0,0,10,4,6,2
LOC101928048,41,0,2,11,2,4
LOC101928052,0,20,2,22,15,7
LOC101928053,8,8,32,11,37,27
LOC101928058,0,4,10,8,3,11
LOC101928068,0,0,26,8,48,24
LOC101928069,0,0,11,0,6,4
LOC101928075,0,25,11,13,8,10
LOC101928087_1,0,0,3,0,0,0
LOC101928093,0,0,9,7,5,21
LOC101928095,0,0,4,5,0,0
LOC101928105,0,0,3,13,5,3
LOC101928107,0,0,8,11,28,25
LOC101928118,14,22,21,4,5,33
LOC101928119,2,0,6,0,1,17
LOC101928120,0,0,6,7,5,3
LOC101928123,0,1,12,1,2,10
LOC101928126,0,0,0,0,0,3
LOC101928128,0,13,1,0,5,3
LOC101928131,0,0,12,8,15,6
LOC101928135,0,9,5,18,1,5
LOC101928143,0,17,4,25,19,8
LOC101928160,1,0,0,0,0,2
LOC101928163,0,17,3,3,1,4
LOC101928166,0,0,2,0,6,2
LOC101928168,0,0,10,8,13,5
LOC101928174,13,0,9,0,4,4
LOC101928177,0,0,2,3,4,3
LOC101928191,0,0,16,6,18,12
LOC101928195,1,5,6,4,8,5
LOC101928198,0,0,2,1,11,9
LOC101928201,0,0,19,25,14,15
LOC101928211,0,0,11,20,10,17
LOC101928222,0,0,4,8,2,6
LOC101928251,32,0,5,1,2,18
LOC101928253,0,0,1,0,2,0
LOC101928254,0,16,25,5,14,23
LOC101928266,0,8,31,14,33,22
LOC101928269,0,10,21,18,42,19
LOC101928272,0,35,28,33,29,21
LOC101928273,32,0,1,0,2,10
LOC101928279,0,0,12,2,7,8
LOC101928283,0,0,8,2,6,7
LOC101928295,16,28,49,15,67,27
LOC101928304,0,15,27,0,28,26
LOC101928306,0,0,8,0,8,2
LOC101928307,0,0,5,5,0,6
LOC101928323,0,9,0,0,0,1
LOC101928335,0,5,20,8,5,9
LOC101928336,5,0,40,22,24,27
LOC101928343,0,7,19,22,16,9
LOC101928358,0,37,20,18,10,10
LOC101928370,0,22,58,38,41,35
LOC101928371,0,0,3,9,8,7
LOC101928372,0,28,16,14,32,50
LOC101928381,0,0,1,0,1,1
LOC101928386,0,22,8,0,3,13
LOC101928389,0,0,2,15,1,7
LOC101928398,0,0,2,2,1,2
LOC101928401,36,26,19,22,15,19
LOC101928402,0,0,15,7,11,6
LOC101928414,0,6,0,11,10,4
LOC101928416,0,0,0,0,0,1
LOC101928417,0,0,2,1,11,1
LOC101928424,0,0,5,5,4,7
LOC101928429,16,0,11,0,5,4
LOC101928436,0,0,20,3,7,5
LOC101928437,30,0,3,0,2,10
LOC101928438,0,12,7,11,9,12
LOC101928441,0,0,8,2,1,11
LOC101928446,36,0,18,12,22,2
LOC101928453,0,0,1,0,0,4
LOC101928475,0,0,15,10,7,6
LOC101928489,24,11,26,12,38,26
LOC101928491,78,25,27,23,16,9
LOC101928495,0,0,2,7,2,13
LOC101928504,0,0,7,9,3,7
LOC101928505,0,0,20,23,16,13
LOC101928510,6,24,27,15,41,30
LOC101928517,0,28,13,14,25,7
LOC101928519,0,9,35,19,35,30
LOC101928523,0,0,0,0,0,1
LOC101928525,0,0,2,0,0,0
LOC101928530,0,0,3,0,0,4
LOC101928535,35,20,15,9,31,26
LOC101928540,40,19,36,21,23,14
LOC101928551,0,7,22,3,22,9
LOC101928557,0,0,0,4,4,8
LOC101928565,38,0,7,7,11,7
LOC101928590,0,0,3,7,5,7
LOC101928595,1,0,4,18,1,6
LOC101928596,0,0,1,0,1,1
LOC101928617,47,4,32,5,47,22
LOC101928618,0,0,1,15,12,7
LOC101928622,2,1,12,20,27,17
LOC101928626,0,0,8,0,0,1
LOC101928627_1,0,0,0,1,0,0
LOC101928651,0,27,10,16,32,5
LOC101928661,0,1,9,3,0,1
LOC101928663,12,0,16,4,4,4
LOC101928682,0,0,19,11,13,12
LOC101928697,0,0,10,3,27,15
LOC101928718,0,0,3,5,6,3
LOC101928725,0,0,5,13,5,4
LOC101928728,31,26,35,27,73,38
LOC101928730,0,0,8,7,8,21
LOC101928731,0,6,25,29,32,10
LOC101928737,0,0,18,2,32,26
LOC101928739,0,15,14,2,16,0
LOC101928748,0,0,8,0,4,2
LOC101928764,0,3,18,10,12,22
LOC101928775,0,0,2,0,4,0
LOC101928782,0,0,6,12,0,14
LOC101928786,0,0,4,7,6,12
LOC101928796,0,0,7,0,6,10
LOC101928797,0,25,0,11,5,3
LOC101928804_2,0,0,1,0,0,1
LOC101928807,0,0,6,17,9,13
LOC101928834,0,30,12,2,17,12
LOC101928837,0,0,7,10,10,11
LOC101928841,79,45,41,5,25,74
LOC101928844,0,0,17,14,31,27
LOC101928847_1,0,1,1,0,0,0
LOC101928855,0,61,34,45,33,45
LOC101928858,11,18,10,22,14,12
LOC101928861,0,0,17,5,16,10
LOC101928881,0,0,2,0,0,8
LOC101928882,12,33,27,17,38,27
LOC101928894,53,12,25,37,37,16
LOC101928896,0,0,1,15,2,9
LOC101928902_1,0,0,0,0,2,3
LOC101928907,25,0,7,2,6,13
LOC101928909,15,7,23,10,14,8
LOC101928911,0,0,12,5,15,10
LOC101928932,0,0,10,1,2,0
LOC101928936,4,2,14,6,15,31
LOC101928937,0,0,4,0,3,10
LOC101928940,0,8,26,7,11,11
LOC101928961,0,17,20,11,19,9
LOC101928977,0,0,11,12,1,8
LOC101928978,108,31,39,40,63,36
LOC101928985,0,0,24,23,33,35
LOC101928988,0,15,35,26,54,21
LOC101928994,0,33,31,0,28,5
LOC101929054,0,3,16,0,10,10
LOC101929057,39,20,30,19,37,31
LOC101929058,0,0,14,6,1,9
LOC101929066,20,3,45,29,61,40
LOC101929073,0,0,4,0,1,7
LOC101929076,0,0,7,9,3,18
LOC101929099,0,0,14,8,4,30
LOC101929106,0,0,13,0,12,11
LOC101929109,0,12,0,0,0,4
LOC101929116,0,52,31,21,51,23
LOC101929117,0,0,0,0,0,4
LOC101929122,0,0,1,0,3,1
LOC101929124,26,84,68,59,113,98
LOC101929128,0,0,5,2,11,7
LOC101929130,40,51,38,19,33,31
LOC101929140,43,10,41,36,34,42
LOC101929141,1,0,0,0,1,2
LOC101929154,0,0,11,1,0,6
LOC101929161,0,9,21,1,14,10
LOC101929162,0,0,15,3,12,22
LOC101929165,21,24,19,28,32,19
LOC101929172,0,0,10,2,6,13
LOC101929188,19,0,13,10,1,8
LOC101929208,0,0,0,0,0,3
LOC101929210,0,8,24,6,33,18
LOC101929217,0,0,0,0,2,2
LOC101929227,0,2,61,31,47,52
LOC101929229,0,0,8,0,7,6
LOC101929234,6,0,8,17,9,12
LOC101929237,0,0,27,5,20,25
LOC101929259,0,31,51,35,55,43
LOC101929268,33,0,11,0,2,4
LOC101929269,0,0,7,5,7,11
LOC101929279,0,0,17,15,5,21
LOC101929294,0,0,2,2,10,4
LOC101929295,0,0,13,19,6,20
LOC101929297,44,0,3,5,0,14
LOC101929315,0,0,3,2,1,7
LOC101929319,3,0,6,4,16,15
LOC101929322,114,26,27,6,10,22
LOC101929331,0,4,13,14,8,18
LOC101929340,0,0,7,10,21,22
LOC101929341,0,0,9,0,25,6
LOC101929353,0,0,5,0,1,5
LOC101929372,0,4,39,17,7,40
LOC101929380,0,6,45,17,32,13
LOC101929411,0,0,1,0,1,1
LOC101929413,0,0,7,2,9,12
LOC101929415,0,0,0,0,0,14
LOC101929420,33,23,49,15,48,37
LOC101929427,0,0,9,0,0,9
LOC101929431,23,16,40,16,32,29
LOC101929439,0,0,15,19,11,32
LOC101929452,6,10,2,4,5,1
LOC101929457,25,0,11,5,5,34
LOC101929460,18,0,3,0,8,16
LOC101929470,14,0,0,0,0,4
LOC101929473,0,0,3,7,3,9
LOC101929479,0,0,5,0,0,9
LOC101929488,0,0,13,18,13,15
LOC101929512,0,0,2,0,4,1
LOC101929523,0,0,17,43,11,28
LOC101929524,0,0,10,8,16,19
LOC101929528,0,54,11,3,23,15
LOC101929532,14,12,16,12,24,14
LOC101929536,48,0,4,0,0,6
LOC101929538,0,0,24,12,9,13
LOC101929550,0,45,17,2,14,20
LOC101929551,0,13,4,0,0,5
LOC101929552,0,0,17,0,9,11
LOC101929555,0,14,24,3,16,16
LOC101929563,9,22,68,59,77,39
LOC101929572,0,0,7,2,8,1
LOC101929574,0,17,8,0,21,4
LOC101929577,16,28,33,21,32,28
LOC101929578,44,0,31,25,34,48
LOC101929579,0,0,0,0,4,0
LOC101929583,0,0,2,1,5,6
LOC101929586,0,12,12,2,0,7
LOC101929599,0,1,1,5,2,11
LOC101929613,0,16,9,3,1,6
LOC101929621,0,0,0,0,0,1
LOC101929622,0,0,9,0,5,12
LOC101929626,0,0,38,11,27,16
LOC101929633,0,0,2,0,0,0
LOC101929645,0,0,4,1,0,0
LOC101929645_1,0,0,0,16,1,0
LOC101929653,36,18,56,27,82,46
LOC101929657,0,0,16,17,10,17
LOC101929662,0,33,18,2,9,25
LOC101929698,0,2,11,5,4,25
LOC101929705,0,0,2,3,7,17
LOC101929709,0,0,8,0,4,12
LOC101929710,0,0,6,7,2,7
LOC101929718,42,0,12,5,11,18
LOC101929719,0,0,3,4,0,0
LOC101929748,28,0,5,3,1,16
LOC101929762,11,0,16,0,9,9
LOC101929767,0,0,9,0,3,24
LOC101929882,0,0,2,12,3,10
LOC101929935,0,0,6,0,0,1
LOC101929950,0,0,0,0,0,1
LOC101929998,0,0,0,0,0,1
LOC101930071,0,0,0,0,2,0
LOC101930094,0,0,5,0,0,12
LOC101930370,7,45,67,42,40,42
LOC101930421,0,0,2,0,0,7
LOC102031319,0,0,0,3,0,6
LOC102467080,5,0,9,2,21,29
LOC102467081,0,0,1,8,4,4
LOC102467216,0,0,10,4,4,6
LOC102467217,0,9,11,12,24,17
LOC102467222,0,32,10,9,23,18
LOC102467226,0,0,4,10,2,11
LOC102503427,0,0,7,5,0,14
LOC102546229,0,3,5,8,2,7
LOC102546294,0,0,10,2,5,16
LOC102546299,0,0,8,0,4,1
LOC102606465,22,0,1,16,12,21
LOC102606466,0,0,10,0,0,6
LOC102723313,9,13,5,10,18,24
LOC102723322,0,45,20,7,11,7
LOC102723335,0,9,2,0,1,2
LOC102723373,0,10,11,13,12,19
LOC102723376,0,0,5,5,9,6
LOC102723376_1,0,0,0,0,0,10
LOC102723385,0,0,15,0,9,4
LOC102723427,0,37,29,16,34,27
LOC102723439,0,0,8,8,11,21
LOC102723493,0,0,1,7,0,12
LOC102723517,0,10,20,14,51,20
LOC102723544,0,24,16,17,39,5
LOC102723566,16,14,21,30,14,45
LOC102723604,32,0,9,4,5,9
LOC102723623,71,0,5,10,11,6
LOC102723649,0,26,13,12,24,7
LOC102723665,22,0,10,9,3,5
LOC102723672,0,0,0,0,0,8
LOC102723692,0,0,0,7,0,0
LOC102723701,0,0,6,0,3,10
LOC102723704,34,0,15,1,20,18
LOC102723709,1,0,8,0,6,2
LOC102723729,0,0,15,6,21,10
LOC102723730,0,0,0,0,2,0
LOC102723753,29,10,66,45,64,73
LOC102723769,47,15,19,23,20,25
LOC102723809,0,0,6,0,7,5
LOC102723831,0,1,5,4,17,19
LOC102723838,0,0,9,1,8,14
LOC102723883,0,0,0,6,2,1
LOC102723968,25,14,13,22,21,15
LOC102723971,0,0,7,3,6,26
LOC102724020,0,0,1,3,3,0
LOC102724050,0,2,21,0,32,25
LOC102724058,0,0,4,0,2,7
LOC102724064,0,0,7,0,4,3
LOC102724084,0,0,1,0,7,5
LOC102724096,0,0,0,11,0,11
LOC102724152,0,0,0,14,1,4
LOC102724153,0,0,10,3,27,19
LOC102724156,0,0,9,0,1,14
LOC102724163,0,4,23,7,14,15
LOC102724238,0,1,3,0,4,2
LOC102724265,0,14,3,0,0,7
LOC102724301,0,20,4,0,3,4
LOC102724323,0,0,0,0,2,0
LOC102724357,7,0,11,3,1,4
LOC102724378,0,2,13,0,5,3
LOC102724404,39,0,5,0,3,2
LOC102724421,41,0,4,0,4,1
LOC102724434,0,21,24,21,69,25
LOC102724452,34,0,14,5,9,13
LOC102724467,0,33,26,12,27,28
LOC102724511,0,4,2,0,1,8
LOC102724532,0,15,17,15,32,8
LOC102724562,0,0,4,1,0,2
LOC102724579,0,0,2,0,6,2
LOC102724596,0,45,14,15,48,27
LOC102724604,46,0,0,6,2,6
LOC102724612,62,6,31,1,66,24
LOC102724624,0,0,2,0,0,2
LOC102724646,0,4,8,3,6,6
LOC102724710,0,2,13,2,8,0
LOC102724719,0,4,9,6,11,7
LOC102724720,0,0,25,7,24,24
LOC102724728,0,1,11,10,2,25
LOC102724738,0,41,10,15,19,24
LOC102724776,0,0,3,0,12,0
LOC102724784,8,41,21,16,44,21
LOC102724804,0,0,11,0,17,6
LOC102724814,0,1,9,7,3,28
LOC102724849,0,8,10,34,27,15
LOC102724874,0,0,11,5,2,0
LOC102724904,0,0,4,0,1,0
LOC102724908,4,0,6,0,0,22
LOC102724958,0,0,1,0,2,1
LOC102725021,0,27,27,11,54,46
LOC102725072,164,53,116,81,81,93
LOC102725080,0,6,24,11,15,15
LOC102725191,69,21,26,11,34,19
LOC102725254,83,0,10,2,13,9
LOC103021295,1,0,12,0,6,5
LOC103171574,30,0,8,2,13,17
LOC103344931,0,10,9,7,1,23
LOC103352541,0,19,8,10,19,10
LOC103908604,0,0,4,0,0,5
LOC103908605,0,0,2,0,5,28
LOC104054148,0,0,19,4,9,22
LOC104968399,26,0,1,2,2,1
LOC105274304,0,0,0,0,0,6
LOC105369140,0,8,5,0,12,0
LOC105369140_1,0,0,1,0,1,9
LOC105369146,29,0,1,6,11,2
LOC105369147,8,27,9,6,1,16
LOC105369187,0,0,3,7,2,18
LOC105369201,0,11,34,35,18,52
LOC105369209,10,0,7,3,6,8
LOC105369212,0,127,15,35,10,28
LOC105369266,0,0,0,0,1,1
LOC105369306,0,18,5,0,0,4
LOC105369332,0,10,16,9,12,20
LOC105369391,0,0,0,0,0,4
LOC105369438,0,0,13,5,5,9
LOC105369507,0,0,11,3,12,5
LOC105369509,0,5,6,2,9,7
LOC105369532,0,0,1,0,0,4
LOC105369535,16,17,10,0,4,22
LOC105369595,1,15,13,0,8,6
LOC105369632,0,0,0,4,0,0
LOC105369632_1,1,2,3,1,0,0
LOC105369691,19,61,21,0,35,26
LOC105369728,12,0,1,0,0,9
LOC105369747,0,0,18,4,0,19
LOC105369781,0,0,5,0,2,0
LOC105369879,37,0,7,0,0,0
LOC105369911,0,0,0,5,6,3
LOC105369921,35,15,5,10,14,15
LOC105369945,0,0,3,8,4,2
LOC105369980,53,0,13,3,12,8
LOC105370024,0,0,1,0,1,1
LOC105370068,0,20,0,0,0,3
LOC105370203,0,0,1,0,1,0
LOC105370295,0,5,5,1,1,39
LOC105370361,0,0,6,4,1,14
LOC105370362,0,0,4,0,0,0
LOC105370401,19,18,24,0,22,29
LOC105370457,0,0,4,3,4,2
LOC105370473,0,0,1,0,3,0
LOC105370489,0,0,1,1,1,5
LOC105370579,0,0,28,1,18,38
LOC105370586,0,0,6,1,17,1
LOC105370619,0,0,2,1,0,2
LOC105370622,0,0,8,0,0,1
LOC105370687,0,0,10,47,10,19
LOC105370697,0,0,0,0,0,1
LOC105370705,0,0,6,0,3,5
LOC105370708,0,0,3,0,0,6
LOC105370792,0,0,0,10,5,0
LOC105370802,0,9,23,15,16,25
LOC105370829,0,0,2,0,7,4
LOC105370941,18,0,10,4,3,10
LOC105370943,0,0,28,18,5,22
LOC105370954,0,0,4,1,6,4
LOC105370980,36,6,10,10,25,18
LOC105371038,0,0,0,1,0,0
LOC105371046,35,0,0,15,0,6
LOC105371049,0,0,0,2,0,0
LOC105371083,0,0,16,0,5,9
LOC105371215,0,0,2,4,2,0
LOC105371215_1,0,0,0,0,0,2
LOC105371267,30,0,61,36,63,39
LOC105371328,0,0,9,5,4,6
LOC105371335,0,9,12,0,5,8
