Geneid,N1,N2,T1,T2,T3,T4
ADAM33,31,17,26,38,10,25
ADAM3A,0,0,37,14,37,40
ADAM3B,33,13,13,7,22,6
ADAM5,15,3,5,12,19,9
ADAM6_1,31,0,0,0,1,3
ADAM7,59,35,42,25,28,31
ADAM8,0,8,27,18,11,39
ADAM9,52,100,73,98,163,108
ADAMDEC1,39,17,17,34,25,11
ADAMTS1,0,24,27,14,3,13
ADAMTS10,0,0,2,0,10,5
ADAMTS10_1,0,0,2,1,4,6
ADAMTS12,42,26,43,46,55,63
ADAMTS13,0,0,2,0,2,6
ADAMTS13_1,0,0,7,8,12,7
ADAMTS14,0,22,10,6,1,65
ADAMTS15,31,19,9,11,9,55
ADAMTS16,50,11,79,53,62,77
ADAMTS17,41,20,39,82,63,69
ADAMTS18,137,31,95,34,139,85
ADAMTS19,0,21,33,17,39,30
ADAMTS19-AS1,27,0,6,0,0,20
ADAMTS2,0,32,61,47,18,119
ADAMTS20,18,29,78,64,82,69
ADAMTS3,18,13,18,36,40,32
ADAMTS4,0,419,116,643,103,121
ADAMTS5,0,40,51,146,57,78
ADAMTS6,20,63,74,54,59,65
ADAMTS7,130,16,74,25,13,89
ADAMTS7P1,33,0,0,0,0,3
ADAMTS8,55,55,96,48,55,65
ADAMTS9,80,7,52,14,57,99
ADAMTS9-AS1,41,7,10,22,30,22
ADAMTS9-AS2,0,0,6,0,4,6
ADAMTSL1,13,0,47,41,12,97
ADAMTSL2,24,40,15,7,11,23
ADAMTSL3,112,56,116,67,126,103
ADAMTSL4,40,10,80,53,8,88
ADAMTSL4-AS1,0,330,5,362,15,7
ADAMTSL5,21,0,37,8,10,45
ADAP1,0,0,36,34,7,62
ADAP2,0,8,54,163,84,50
ADAR,23,28,62,25,33,145
ADARB1,97,38,43,26,64,59
ADARB2,21,47,36,44,36,92
ADARB2-AS1,0,0,0,12,1,7
ADAT1,44,79,61,210,104,67
ADAT2,1,17,41,21,46,22
ADAT3,12,0,16,21,5,38
ADCK1,4,47,52,44,49,57
ADCK2,48,11,33,28,36,72
ADCK5_1,0,0,0,5,0,7
ADCY1,0,65,89,58,49,118
ADCY10,36,8,78,44,128,102
ADCY10P1,16,3,66,45,77,41
ADCY2,29,32,40,45,89,88
ADCY3,0,4,35,44,44,76
ADCY4,54,0,31,60,19,62
ADCY5,0,13,44,5,23,48
ADCY6,19,19,89,24,33,141
ADCY6-DT,0,0,13,0,3,10
ADCY7,0,31,27,34,6,54
ADCY8,21,45,72,17,86,59
ADCY9,0,10,79,67,35,233
ADCYAP1,19,19,34,20,23,25
ADCYAP1R1,42,5,75,40,79,85
ADD1,33,16,60,83,36,99
ADD2_1,0,0,1,0,0,5
ADD3,0,35,57,128,54,45
ADD3-AS1,26,0,7,0,6,2
ADGB,50,34,48,34,38,48
ADGRA1,0,0,5,0,0,45
ADGRA1-AS1,0,0,2,14,14,15
ADGRA2,12,0,42,68,10,170
ADGRA3,13,67,124,145,152,81
ADGRB1,2,4,10,8,1,29
ADGRB2,59,0,5,22,0,50
ADGRB3,60,40,42,57,25,25
ADGRD1,19,29,26,37,46,84
ADGRD1-AS1,0,0,0,0,3,1
ADGRE1,26,1,85,59,92,94
ADGRE2,33,16,74,54,71,98
ADGRE3,0,34,56,32,88,35
ADGRE4P,0,4,38,22,65,69
ADGRE5,0,42,58,71,58,75
ADGRF1,19,35,36,12,30,37
ADGRF2,0,49,17,12,43,24
ADGRF3,19,2,38,50,13,68
ADGRF4,0,2,1,14,16,18
ADGRF5,0,41,50,101,63,49
ADGRF5-AS1,0,1,58,18,46,29
ADGRG1,2,22,37,43,48,107
